Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1337,10.1,5.4,121,2137.8,2360,1034,10.30,717,75.4,17.50,78,708.74
1337.5,10.2,5.5,121,2127.3,2363,1034,10.30,720,75.8,17.50,78,708.31
1338,10.4,5.6,121,2159.6,2366,1034,10.30,722,76.1,17.50,78,706.92
1338.5,10.7,5.8,121,2185.4,2366,1034,10.30,725,76.5,17.50,78,701.63
1339,10.8,5.7,121,2164.8,2371,1035,10.30,728,76.8,17.50,78,680.61
1339.5,10.2,5.5,121,2130.1,2399,1035,10.30,731,77.2,17.50,78,664.1
1340,10.2,5.3,121,2139.1,2420,1035,10.30,734,77.5,17.50,78,686.3
1340.5,9.8,5,121,2121.2,2459,1033,10.30,737,77.9,17.50,78,701.74
1341,10.8,5.4,121,2168.4,2427,1035,10.30,740,78.2,17.50,78,705.62
1341.5,11.4,5.7,121,2193.6,2395,1036,10.30,742,78.5,17.50,78,706.87
1342,12,6.2,121,2244,2371,1035,10.30,745,78.8,17.50,78,708.47
1342.5,10.9,5.7,121,2192.3,2352,1033,10.30,748,79.2,17.50,78,706.56
1343,10.3,5.4,121,2164.8,2336,1032,10.30,751,79.5,17.50,78,707.17
1343.5,8.1,4.5,121,2051.4,2327,1031,10.30,755,80,17.50,78,708.33
1344,7.7,4.1,121,2023.7,2323,1031,10.30,758,80.5,17.50,78,708.67
1344.5,8.1,4,121,2041.3,2329,1031,10.30,762,80.9,17.50,78,710.07
1345,8.7,4,121,2052.5,2323,1031,10.30,766,81.3,17.50,78,710.3
1345.5,9.5,4.3,121,2081.6,2318,1031,10.30,769,81.7,17.50,78,711.32
1346,10.7,5,121,2144.5,2312,1030,10.30,772,82.1,17.50,78,710.64
1346.5,10.4,5.3,121,2163.8,2323,1030,10.30,775,82.4,17.50,78,709.7
1347,10.6,5.2,121,2176.8,2323,1030,10.30,777,82.8,17.50,78,709.81
1347.5,10.3,5,121,2145.8,2327,1030,10.30,780,83.1,17.50,78,708.57
1348,10.4,5,121,2162.7,2344,1032,10.30,783,83.5,17.50,78,706.14
1348.5,10.3,4.7,121,2146.9,2372,1034,10.30,786,83.8,17.50,78,705.32
1349,9.9,4.1,121,2106.5,2394,1036,10.30,789,84.2,17.50,78,703.98
1349.5,9.6,3.9,121,2080.5,2396,1035,10.30,792,84.6,17.50,78,702.5
1350,9.5,4,121,2055.4,2396,1033,10.30,796,85,17.50,78,696.78
1350.5,9.2,4.3,120,1943,2420,1024,10.30,799,85.4,17.50,78,673.75
1351,8.5,5.6,119,2009.2,2412,1017,10.30,802,85.8,17.50,78,673.62
1351.5,8.1,6.2,119,2019.2,2407,1016,10.30,806,86.2,17.50,78,674.7
1352,7.4,6.3,119,2010.3,2408,1016,10.30,810,86.7,17.50,78,674.68
